Display Name;Salutation;Last Name;First Name;Display Bio;Begin Date;End Date
Jens Møller-Jensen;m;Møller-Jensen;Jens;1869 - 1948;1869;1948
Olivia Holm-Møller;k;Holm-Møller;Olivia;1875 - 1970;1875;1970
Sigurd Swane;m;Swane;Sigurd;1879 - 1973;1879;1973
Gerhard Henning;m;Henning;Gerhard;1880 - 1967;1880;1967
Ebba Carstensen;k;Carstensen;Ebba;1885 - 1967;1885;1967
Valdemar Secher;m;Secher;Valdemar;1885 - 1976;1885;1976
Kay Bojesen;m;Bojesen;Kay;1886 - 1958;1886;1958
Viggo Jensen;m;Jensen;Viggo;1886 - 1973;1886;1973
Georg Jacobsen;m;Jacobsen;Georg;1887 - 1976;1887;1976
Adam Fischer;m;Fischer;Adam;1888 - 1968;1888;1968
Kaare Klint;m;Klint;Kaare;1888 - 1954;1888;1954
Astrid Noack;k;Noack;Astrid;1888 - 1954;1888;1954
Paula Trock;k;Trock;Paula;1889 - 1979;1889;1979
Andreas Friis;m;Friis;Andreas A. C. J.;1890 - 1983;1890;1983
Harry Frithjof E. Carlsson;m;Carlsson;Harry Frithjof E.;1891 - 1968;1891;1968
Jens Nielsen;m;Nielsen;Jens;1891 - 1978;1891;1978
Niels Lergaard;m;Lergaard;Niels;1893 - 1982;1893;1982
Helge Nielsen;m;Nielsen;Helge;1893 - 1980;1893;1980
Lis Ahlmann;k;Ahlmann;Lis;1894 - 1979;1894;1979
Knud Agger;m;Agger;Knud;1895 - 1973;1895;1973
Marie Gudme Leth;k;Leth;Marie Gudme;1895 - 1997;1895;1997
Axel Skjelborg;m;Skjelborg;Axel;1895 - 1970;1895;1970
Carl Emanuel Falbe-Hansen;m;Falbe-Hansen;Carl Emanuel;1896 - 1969;1896;1969
Therese Lucheshitz;k;Lucheshitz;Therese;1896 - 1985;1896;1985
Reidar Magnus;m;Magnus;Reidar;1896 - 1968;1896;1968
Otto Rosing;m;Rosing;Otto;1896 - 1965;1896;1965
Frits Schlegel;m;Schlegel;Frits;1896 - 1965;1896;1965
Elna Falbe-Hansen;k;Falbe-Hansen;Elna;1897 - 1979;1897;1979
Christian Pedersen-Bellinge;m;Pedersen-Bellinge;Christian;1897 - 1984;1897;1984
Agnete Varming;k;Varming;Agnete;1897 - 1983;1897;1983
Hans Bendix;m;Bendix;Hans;1898 - 1998;1898;1998
Mogens Koch;m;Koch;Mogens;1898 - 1992;1898;1992
Hans Georg Skovgaard;m;Skovgaard;Hans Georg;1898 - 1969;1898;1969
Kay W.L.C. Christensen;m;Christensen;Kay W.L.C.;1899 - 1981;1899;1981
Franciska Clausen;k;Clausen;Franciska;1899 - 1986;1899;1986
Helge Daner Jensen;m;Jensen;Helge Daner;1899 - 1986;1899;1986
Harald Leth;m;Leth;Harald;1899 - 1986;1899;1986
Hjalte Skovgaard;m;Skovgaard;Hjalte;1899 - 1967;1899;1967
Anna Klindt Sørensen;k;Sørensen;Anna Klindt;1899 - 1985;1899;1985
Dagmar Starcke;k;Starcke;Dagmar;1899 - 1975;1899;1975
Henrik Starcke;m;Starcke;Henrik;1899 - 1973;1899;1973
Holger Jens Sophus Jensen;m;Jensen;Holger Jens Sophus;1900 - 1966;1900;1966
Agnete Therkildsen;k;Therkildsen;Agnete;1900 - 1993;1900;1993
Mogens Bøggild;m;Bøggild;Mogens;1901 - 1987;1901;1987
Christian Daugaard;m;Daugaard;Christian;1901 - 1993;1901;1993
Georg Glud;m;Glud;Georg;1901 - 1972;1901;1972
Søren Hjort Nielsen;m;Hjort Nielsen;Søren;1901 - 1983;1901;1983
Mogens Lassen;m;Lassen;Mogens;1901 - 1987;1901;1987
Søren Hjorth Nielsen;m;Nielsen;Søren Hjorth;1901 - 1983;1901;1983
Eduard Borregaard;m;Borregaard;Eduard;1902 - 1978;1902;1978
Gottfred Eickhoff;m;Eickhoff;Gottfred;1902 - 1982;1902;1982
Kaj Ejstrup;m;Ejstrup;Kaj;1902 - 1956;1902;1956
Arne Jacobsen;m;Jacobsen;Arne;1902 - 1971;1902;1971
Kai Mottlau;m;Mottlau;Kai;1902 - 1984;1902;1984
Hans Olsen;m;Olsen;Hans;1902 - 1983;1902;1983
Martin Hansen;m;Hansen;Martin;1903 - 1988;1903;1988
Viggo Julius Rørup;m;Rørup;Viggo Julius;1903 - 1971;1903;1971
Magnus Stephensen;m;Stephensen;Magnus;1903 - 1984;1903;1984
Åge Fredslund Andersen;m;Andersen;Åge Fredslund;1904 - 1976;1904;1976
Elisabeth Bertha Karlinsky;k;Karlinsky;Elisabeth Bertha;1904 - 1994;1904;1994
August Keil;m;Keil;August;1904 - 1973;1904;1973
Palle Suensson;m;Suensson;Palle;1904 - 1987;1904;1987
Flemming Vilhelm Bergsøe;m;Bergsøe;Flemming Vilhelm;1905 - 1968;1905;1968
Erik Clemmesen;m;Clemmesen;Erik;1905 - 1984;1905;1984
Else Fischer-Hansen;k;Fischer-Hansen;Else;1905 - 1996;1905;1996
Ingermarie Ostenfeldt;k;Ostenfeldt;Ingermarie;1905;1905;0
Hans Scherfig;m;Scherfig;Hans;1905 - 1979;1905;1979
Povl Goltermann O. Søndergaard;m;Søndergaard;Povl Goltermann O.;1905 - 1986;1905;1986
Mogens Zieler;m;Zieler;Mogens;1905 - 1983;1905;1983
Nils J. Kähler;m;Kähler;Nils J.;1906 - 1979;1906;1979
Tove Kindt-Larsen;k;Kindt-Larsen;Tove;1906 - 1994;1906;1994
Hans Lynge;m;Lynge;Hans;1906 - 1988;1906;1988
Felix Möhl;k;Möhl;Felix;1906 - 1985;1906;1985
Ernst Syberg;m;Syberg;Ernst;1906 - 1981;1906;1981
Folmer Bendtsen;m;Bendtsen;Folmer;1907 - 1993;1907;1993
Karl Bovin;m;Bovin;Karl;1907 - 1985;1907;1985
Tut Fog;k;Fog;Tut;1907 - 1999;1907;1999
Niels Grønbech;m;Grønbech;Niels;1907 - 1991;1907;1991
Henry Heerup;m;Heerup;Henry;1907 - 1993;1907;1993
Ernest Mancoba;m;Mancoba;Ernest;1907 - 2002;1907;2002
Egon Mathiesen;m;Mathiesen;Egon;1907 - 1976;1907;1976
Peter Alsing Nielsen;m;Nielsen;Peter Alsing;1907 - 1985;1907;1985
Arne Petersen;m;Petersen;Arne;1907 - 1989;1907;1989
Franka Rasmussen;k;Rasmussen;Franka;1907 - 1994;1907;1994
Svend Engelund;m;Engelund;Svend;1908 - 2007;1908;2007
Claus Holberg;m;Holberg;Claus;1908;1908;0
Arne Johannesen;m;Johannesen;Arne;1908 - 1998;1908;1998
Arne Johannessen;m;Johannessen;Arne;1908;1908;0
Eiler Krag;m;Krag;Eiler;1908 - 1991;1908;1991
Knud Nellemose;m;Nellemose;Knud;1908 - 1997;1908;1997
Kamma Svensson;k;Svensson;Kamma;1908 - 1988;1908;1988
Anna Thommesen;k;Thommesen;Anna;1908 - 2004;1908;2004
Gerda Åkesson;k;Åkesson;Gerda;1909 - 1992;1909;1992
Risse Berntsen;k;Berntsen;Risse;1909;1909;0
Poul Bjørklund;m;Bjørklund;Poul;1909 - 1984;1909;1984
Bertel Børge;m;Børge;Bertel;1909 - 1997;1909;1997
Povl Christensen;m;Christensen;Povl;1909 - 1977;1909;1977
Wilhelm Freddie;m;Freddie;Wilhelm;1909 - 1995;1909;1995
William Fridericia;m;Fridericia;William;1909 - 1996;1909;1996
Anne Margrethe Grosell;k;Grosell;Anne Margrethe;1909 - 1999;1909;1999
Svavar Gudnason;m;Gudnason;Svavar;1909 - 1988;1909;1988
Kamma Hedin;k;Hedin;Kamma;1909 - 1992;1909;1992
Lars Sylvest Jacobsen;m;Jacobsen;Lars Sylvest;1909 - 2004;1909;2004
Robert Dueholm Jessen;m;Jessen;Robert Dueholm;1909 - 1981;1909;1981
Lisbeth Munch-Petersen;k;Munch-Petersen;Lisbeth;1909 - 1997;1909;1997
Kirsten Rose;k;Rose;Kirsten;1909 - 2001;1909;2001
Sigurd Vasegaard;m;Vasegaard;Sigurd;1909 - 1967;1909;1967
Else Kirsten Tove Alfelt;k;Alfelt;Else Kirsten Tove;1910 - 1974;1910;1974
Ejler Bille;m;Bille;Ejler;1910 - 2004;1910;2004
Steffen Petersen Borgen;m;Borgen;Steffen Petersen;1910 - 1997;1910;1997
Edith Sonne Bruun;k;Bruun;Edith Sonne;1910 - 1993;1910;1993
Erling Frederiksen;m;Frederiksen;Erling;1910 - 1994;1910;1994
Ingrid Hansen;k;Hansen;Ingrid;1910 - 2004;1910;2004
Egill Jacobsen;m;Jacobsen;Egill;1910;1910;1998
Richard Mortensen;m;Mortensen;Richard;1910 - 1993;1910;1993
Kaj Nielsen;m;Nielsen;Kaj;1910 - 1993;1910;1993
Hans Sandmand;m;Sandmand;Hans;1910 - 1983;1910;1983
Edvard Anberg;m;Anberg;Edvard;1911 - 1994;1911;1994
